brand,official_name,kcal,servings,first_seen,last_seen
7-11,優菓甜坊可可玉米片鮮奶酪,161,,2026-09-26,2026-09-26
7-11,優菓甜坊摩摩喳喳甜湯,250,,2026-09-26,2026-09-26
7-11,優菓甜坊椰香紫芋露,235,,2026-09-26,2026-09-26
7-11,優菓甜坊紅豆紫米湯,263,,2026-09-26,2026-09-26
7-11,優菓甜坊蒟蒻薏仁綠豆湯,208,,2026-09-26,2026-09-26
7-11,優菓甜坊醇厚熟布丁,208,,2026-09-26,2026-09-26
7-11,優菓甜坊銀耳蓮子湯,142,,2026-09-26,2026-09-26
7-11,優菓甜坊黑糖豆花,165,,2026-09-26,2026-09-26
7-11,光泉森林莓果雙格優酪,135,,2026-09-26,2026-09-26
7-11,光泉正庄杏仁豆腐,83,,2026-09-26,2026-09-26
7-11,光泉百香蜜桃雙格優酪,145,,2026-09-26,2026-09-26
7-11,光泉純乳優酪,84,,2026-09-26,2026-09-26
7-11,八棟圓仔湯 花生薏仁湯,273,,2026-09-26,2026-09-26
7-11,凱薩風味嫩雞鮮蔬捲餅,171,,2026-09-26,2026-09-26
7-11,加點蜜桃風味霜淇淋,246,,2026-09-26,2026-09-26
7-11,北海道秋鮭鮪魚雙手卷,364,,2026-09-26,2026-09-26
7-11,北海道蕎麥風味沾麵,336,,2026-09-26,2026-09-26
7-11,十三香烤雞翅,232,,2026-09-26,2026-09-26
7-11,千島醬,122,,2026-09-26,2026-09-26
7-11,半熟玉子辣擔擔義大利麵,573,,2026-09-26,2026-09-26
7-11,博多明太子冷烏龍麵,375,,2026-09-26,2026-09-26
7-11,博客海鹽嫩雞胸,99,,2026-09-26,2026-09-26
7-11,厚燒玉子,164,,2026-09-26,2026-09-26
7-11,厚起司蛋,333,,2026-09-26,2026-09-26
7-11,原之果實小蜜柑鮮果凍,204,,2026-09-26,2026-09-26
7-11,原味豬肉貢丸,85,,2026-09-26,2026-09-26
7-11,原味香腸,265,,2026-09-26,2026-09-26
7-11,及第豬肉熟水餃,430,,2026-09-26,2026-09-26
7-11,可口紅燒牛肉麵,610,,2026-09-26,2026-09-26
7-11,可爾必思水蜜桃霜淇淋,172,,2026-09-26,2026-09-26
7-11,可爾必思牛奶霜淇淋,160,,2026-09-26,2026-09-26
7-11,台式馬卡龍,170,,2026-09-26,2026-09-26
7-11,台灣黑輪,103,,2026-09-26,2026-09-26
7-11,台畜煙燻豬肝100g,146,,2026-09-26,2026-09-26
7-11,台鐵梅干扣肉握便當,416,,2026-09-26,2026-09-26
7-11,吉伊卡哇草莓卡士達麻糬泡芙,106,,2026-09-26,2026-09-26
7-11,吉士豬肉堡加蛋,261,,2026-09-26,2026-09-26
7-11,吳寶春-抹茶紅豆麻糬麵包,389,,2026-09-26,2026-09-26
7-11,吳寶春芒果奶酪,188,,2026-09-26,2026-09-26
7-11,吳寶春雞蛋布丁,174,,2026-09-26,2026-09-26
7-11,味鼎爆漿起司大飯糰,809,,2026-09-26,2026-09-26
7-11,和風胡麻醬,171,,2026-09-26,2026-09-26
7-11,哇沙米秋鮭飯糰,198,,2026-09-26,2026-09-26
7-11,圓山-寶山黑糖手撕包,264,,2026-09-26,2026-09-26
7-11,地瓜燒,104,,2026-09-26,2026-09-26
7-11,塔香杏鮑菇飯糰,215,,2026-09-26,2026-09-26
7-11,增雞蛋白餐,595,,2026-09-26,2026-09-26
7-11,壹番屋-炸雞起司咖哩飯糰,266,,2026-09-26,2026-09-26
7-11,壹番屋-豬排咖哩蛋包飯,770,,2026-09-26,2026-09-26
7-11,夏日芒芒芒果風味霜淇淋,199,,2026-09-26,2026-09-26
7-11,夢甜屋北海道霜淇淋風味Q皮鬆餅,165,,2026-09-26,2026-09-26
7-11,夢甜屋紅豆鮮奶油雙餡銅鑼燒,207,,2026-09-26,2026-09-26
7-11,大亨堡麵包,177,,2026-09-26,2026-09-26
7-11,大腸肉羹麵線,209,,2026-09-26,2026-09-26
7-11,太和殿-藤椒風味烤雞拌麵(辣),483,,2026-09-26,2026-09-26
7-11,奮起湖秘製雙拼握便當,419,,2026-09-26,2026-09-26
7-11,奶油蛋黃醬培根義大利麵,579,,2026-09-26,2026-09-26
7-11,好時-巧克力麻糬軟餅乾,294,,2026-09-26,2026-09-26
7-11,好時-巧克力麻糬麵包,543,,2026-09-26,2026-09-26
7-11,如記真空綠竹筍,28,,2026-09-26,2026-09-26
7-11,嫩雞毛豆炊飯飯糰(圓),187,,2026-09-26,2026-09-26
7-11,完熟番茄蔬菜湯,166,,2026-09-26,2026-09-26
7-11,宗家府泡菜80g,100,,2026-09-26,2026-09-26
