brand,official_name,kcal,servings,first_seen,last_seen
7-11,膳馨原盅厚菇燉雞湯,138,,2026-09-26,2026-09-26
7-11,膳馨綠竹筍排骨湯,103,,2026-09-26,2026-09-26
7-11,芋粿巧,189,,2026-09-26,2026-09-26
7-11,芋頭排骨酥湯,207,,2026-09-26,2026-09-26
7-11,芋頭牛奶霜淇淋,155,,2026-09-26,2026-09-26
7-11,芋香牛奶霜淇淋,155,,2026-09-26,2026-09-26
7-11,芙菲小圓餅-經典原味,340,,2026-09-26,2026-09-26
7-11,芝麻千層酥,258,,2026-09-26,2026-09-26
7-11,芝麻葉海鮮佐義式油醋沙拉,139,,2026-09-26,2026-09-26
7-11,花枝丸,61,,2026-09-26,2026-09-26
7-11,花生粉米血糕,206,,2026-09-26,2026-09-26
7-11,草莓果泥麵包,247,,2026-09-26,2026-09-26
7-11,草莓開運霜饗霜淇淋,290,,2026-09-26,2026-09-26
7-11,華昇飛魚卵海鮮卷,46,,2026-09-26,2026-09-26
7-11,蒜香油封蝦義大利麵,482,,2026-09-26,2026-09-26
7-11,蒸手工高麗菜捲,57,,2026-09-26,2026-09-26
7-11,蔥鹽增雞蛋白麵,463,,2026-09-26,2026-09-26
7-11,蔥鹽烤雞蔬食便當,373,,2026-09-26,2026-09-26
7-11,蔬果和風醬,28,,2026-09-26,2026-09-26
7-11,藍莓丹麥,361,,2026-09-26,2026-09-26
7-11,藍莓乳酪三明治,175,,2026-09-26,2026-09-26
7-11,藍莓起司霜淇淋,192,,2026-09-26,2026-09-26
7-11,藍鑽蝦舒肥嫩雞沙拉,128,,2026-09-26,2026-09-26
7-11,蘿蔔糕,152,,2026-09-26,2026-09-26
7-11,虱目魚丸,82,,2026-09-26,2026-09-26
7-11,蛋白力量-濃醇可可,390,,2026-09-26,2026-09-26
7-11,蛋黃奶香麵包,310,,2026-09-26,2026-09-26
7-11,蜂蜜奶霜Q鬆餅,285,,2026-09-26,2026-09-26
7-11,蜂蜜柚子霜淇淋,190,,2026-09-26,2026-09-26
7-11,蜜桃風味霜淇淋,200,,2026-09-26,2026-09-26
7-11,蝦仁白醬焗烤飯,567,,2026-09-26,2026-09-26
7-11,豆酥烤魚鮮蔬餐盒,418,,2026-09-26,2026-09-26
7-11,貓福珊迪草莓派,167,,2026-09-26,2026-09-26
7-11,貝洛邦核桃多穀物,461,,2026-09-26,2026-09-26
7-11,貝洛邦法式經典可頌,271,,2026-09-26,2026-09-26
7-11,起司四重奏熱狗堡,453,,2026-09-26,2026-09-26
7-11,輕滷時蔬,43,,2026-09-26,2026-09-26
7-11,這不是滷肉飯,406,,2026-09-26,2026-09-26
7-11,酷黑岩鹽牛奶糖風味霜淇淋,202,,2026-09-26,2026-09-26
7-11,酷黑岩鹽牛奶糖風味霜淇淋(脆餅),223,,2026-09-26,2026-09-26
7-11,醬燒炙烤牛,235,,2026-09-26,2026-09-26
7-11,里肌肉蛋,287,,2026-09-26,2026-09-26
7-11,重量級-奶油手撕餐包,397,,2026-09-26,2026-09-26
7-11,重量級-雞蛋牛奶棒,446,,2026-09-26,2026-09-26
7-11,野生藍莓貝果,290,,2026-09-26,2026-09-26
7-11,野菜豆腐棒,72,,2026-09-26,2026-09-26
7-11,金桃家月見芋泥金沙大福,149,,2026-09-26,2026-09-26
7-11,金沙海鮮丸,56,,2026-09-26,2026-09-26
7-11,金沙烤豆腐義大利麵,600,,2026-09-26,2026-09-26
7-11,金黃蝦仁餅,70,,2026-09-26,2026-09-26
7-11,開心果千層塔,194,,2026-09-26,2026-09-26
7-11,開心果奶霜脆糖菠蘿,326,,2026-09-26,2026-09-26
7-11,開心果霜淇淋,191,,2026-09-26,2026-09-26
7-11,關東煮春雨,108,,2026-09-26,2026-09-26
7-11,關東煮科學麵,188,,2026-09-26,2026-09-26
7-11,阜杭豆漿-經典飯糰,469,,2026-09-26,2026-09-26
7-11,阜杭豆漿-蔥蛋厚燒餅,406,,2026-09-26,2026-09-26
7-11,阜杭豆漿-里肌肉蛋紫米飯糰,422,,2026-09-26,2026-09-26
7-11,阿桐阿寶四神湯,114,,2026-09-26,2026-09-26
7-11,陽明春天南洋咖哩燴飯,653,,2026-09-26,2026-09-26
7-11,陽明春天古早味香菇竹筍粥,189,,2026-09-26,2026-09-26
7-11,陽明春天菇菇毛豆飯糰,202,,2026-09-26,2026-09-26
7-11,陽明春天野菇炊飯飯糰,213,,2026-09-26,2026-09-26
7-11,陽明春天香辣豆腐拌麵,470,,2026-09-26,2026-09-26
7-11,雙拼起司紅醬焗飯,684,,2026-09-26,2026-09-26
7-11,雙蔬鮪魚飯糰,221,,2026-09-26,2026-09-26
7-11,雞肉蛋白棒-黑胡椒風味,163,,2026-09-26,2026-09-26
7-11,青醬蛤蠣義大利麵,666,,2026-09-26,2026-09-26
7-11,韓國KIM新鮮藍莓蒟蒻吸凍飲,6,,2026-09-26,2026-09-26
7-11,韓國延世大學原味生乳包105g,337,,2026-09-26,2026-09-26
7-11,韓國延世大學提拉米蘇風味生乳包,474,,2026-09-26,2026-09-26
7-11,韓國魚板串,88,,2026-09-26,2026-09-26
7-11,韓式泡菜冷烏龍麵,360,,2026-09-26,2026-09-26
7-11,韓式炸雞起司丼,700,,2026-09-26,2026-09-26
7-11,韓式雜菜冬粉,198,,2026-09-26,2026-09-26
7-11,順天本草輕點龜苓膏-蜂蜜,64,,2026-09-26,2026-09-26
7-11,頌丹樂-泰式打拋豬肉飯,575,,2026-09-26,2026-09-26
7-11,頌丹樂-泰式酸辣雞腿冷麵,369,,2026-09-26,2026-09-26
7-11,頌丹樂-遇見泰式打拋雞拌麵,568,,2026-09-26,2026-09-26
7-11,頌丹樂泰奶提拉米蘇,185,,2026-09-26,2026-09-26
7-11,香檳葡萄霜淇淋,173,,2026-09-26,2026-09-26
7-11,香滷翅小腿,71,,2026-09-26,2026-09-26
7-11,香炸豬排歐姆蛋咖哩飯,727,,2026-09-26,2026-09-26
7-11,香甜玉米,76,,2026-09-26,2026-09-26
7-11,香蒜奶油雙拼義大利麵,646,,2026-09-26,2026-09-26
7-11,香蒜烤雞鮮蔬餐盒,374,,2026-09-26,2026-09-26
7-11,香蒜白酒蛤蠣義大利麵,438,,2026-09-26,2026-09-26
7-11,香辣堅果蛋炒飯,585,,2026-09-26,2026-09-26
7-11,香鬆紫米風味飯糰,396,,2026-09-26,2026-09-26
7-11,馨苑干貝海鮮煲粥,175,,2026-09-26,2026-09-26
7-11,馨苑薑絲鱸魚湯,84,,2026-09-26,2026-09-26
7-11,高纖地瓜雜糧麵包,380,,2026-09-26,2026-09-26
7-11,高鐵-莓果比利時鬆餅,182,,2026-09-26,2026-09-26
7-11,魚卵福袋,51,,2026-09-26,2026-09-26
7-11,鮪魚洋芋溏心蛋三明治,281,,2026-09-26,2026-09-26
7-11,鮪魚肉鬆雙手卷,404,,2026-09-26,2026-09-26
7-11,鮮香菇,11,,2026-09-26,2026-09-26
7-11,鹽烤蒜味雞肉丸,197,,2026-09-26,2026-09-26
7-11,鹽烤麻辣雞心,132,,2026-09-26,2026-09-26
7-11,鹽麴雞腿溫沙拉,187,,2026-09-26,2026-09-26
7-11,麻油米血,145,,2026-09-26,2026-09-26
7-11,麻油菇菇拌飯,369,,2026-09-26,2026-09-26
7-11,麻油菇菇油飯,469,,2026-09-26,2026-09-26
7-11,黃金炸豬排玉子丼,629,,2026-09-26,2026-09-26
7-11,黃金玉子揚,107,,2026-09-26,2026-09-26
7-11,黃金玉米棒,264,,2026-09-26,2026-09-26
7-11,黃金魚板,78,,2026-09-26,2026-09-26
7-11,黃金魚豆腐,91,,2026-09-26,2026-09-26
7-11,黑丸-蠟筆小新仙草奶凍,69,,2026-09-26,2026-09-26
7-11,黑丸-蠟筆小新愛玉寒天,86,,2026-09-26,2026-09-26
7-11,黑丸招牌仙草吸凍飲,91,,2026-09-26,2026-09-26
7-11,黑芝麻牛奶霜淇淋,186,,2026-09-26,2026-09-26
7-11,黑金松露嫩雞胸,146,,2026-09-26,2026-09-26
7-11,鼎富發豬油拌飯,372,,2026-09-26,2026-09-26
全家,1970老爸炸雞,178,1,2026-09-26,2026-09-26
全家,31BR白桃鮮奶酪口味冰淇淋,154,1,2026-09-26,2026-09-26
全家,31BR薄荷巧克力口味冰淇淋,192,1,2026-09-26,2026-09-26
全家,31BR跳跳糖口味冰淇淋,198,1,2026-09-26,2026-09-26
全家,54%黑巧克力夏威夷果仁脆粒,264,1,2026-09-26,2026-09-26
全家,70%極濃黑巧乳加,137,1,2026-09-26,2026-09-26
全家,70%黑巧熟可可杏仁脆粒雪糕,252,1,2026-09-26,2026-09-26
全家,77乳加星球巧克力-榛果牛奶,211,1,2026-09-26,2026-09-26
全家,77乳加星球巧克力-花生可可,209,1,2026-09-26,2026-09-26
全家,77乳加濃巧酥,124,1,2026-09-26,2026-09-26
全家,77新貴派花生,801,9,2026-09-26,2026-09-26
全家,80％醇黑巧克力,687,15,2026-09-26,2026-09-26
全家,95℃北海道風味薯條原味40G,228,2,2026-09-26,2026-09-26
全家,95℃北海道風味薯條海苔口味,228,2,2026-09-26,2026-09-26
全家,A2β酪蛋白鮮乳200ml,136,1,2026-09-26,2026-09-26
全家,AB優酪乳原味,123,1,2026-09-26,2026-09-26
全家,AB優酪乳原味517ml,310,2,2026-09-26,2026-09-26
全家,AB優酪乳原味902ml,540,3,2026-09-26,2026-09-26
全家,AB優酪乳無加糖,119,1,2026-09-26,2026-09-26
全家,AB優酪乳無加糖517ml,298,2,2026-09-26,2026-09-26
全家,AB優酪乳無加糖902ml,519,3,2026-09-26,2026-09-26
全家,AB草莓優酪乳,143,1,2026-09-26,2026-09-26
全家,ALE阿咧運動補給飲料,142,2,2026-09-26,2026-09-26
全家,AW極酷嗆涼紫冰野莓口香糖,43,10,2026-09-26,2026-09-26
全家,AW極酷嗆辣口香糖,43,10,2026-09-26,2026-09-26
全家,AW無糖微冰藍莓口香糖28g,49,10,2026-09-26,2026-09-26
全家,AW超值包微冰藍莓無糖口香糖,108,22,2026-09-26,2026-09-26
全家,AW超值包極酷嗆涼紫冰野莓,95,22,2026-09-26,2026-09-26
全家,BINCH巧克力餅乾,531,3,2026-09-26,2026-09-26
全家,C&C檸檬風味氣泡飲,200,2,2026-09-26,2026-09-26
全家,C&C葡萄風味氣泡飲,200,2,2026-09-26,2026-09-26
全家,CONFEX蛋糕-原味,310,1,2026-09-26,2026-09-26
全家,CONFEX蛋糕-牛奶味,307,1,2026-09-26,2026-09-26
全家,CONFEX蛋糕-黑糖味,265,1,2026-09-26,2026-09-26
全家,DyDo日式黑咖啡,13,1,2026-09-26,2026-09-26
全家,EXTRA無糖口香糖-香甜葡萄,50,10,2026-09-26,2026-09-26
全家,EXTRA香甜葡萄超值包口香糖,114,22,2026-09-26,2026-09-26
全家,Extra清甜蜜桃超值包口香糖,110,22,2026-09-26,2026-09-26
全家,Extra香濃密瓜超值包口香糖,110,22,2026-09-26,2026-09-26
全家,FIN好菌補給飲,100,2,2026-09-26,2026-09-26
全家,FIN深海補給飲料,100,2,2026-09-26,2026-09-26
全家,FIN補給飲料975ml,168,3,2026-09-26,2026-09-26
全家,FMC100％葡萄汁,152,1,2026-09-26,2026-09-26
全家,FMC仙草飲,75,2,2026-09-26,2026-09-26
全家,FMC冷壓椰子水,77,1,2026-09-26,2026-09-26
全家,FMC冷壓椰子水870ml,209,1,2026-09-26,2026-09-26
全家,FMC凍頂烏龍茶(有糖),78,2,2026-09-26,2026-09-26
全家,FMC南非國寶茶,17,2,2026-09-26,2026-09-26
全家,FMC夏威夷果,195,1,2026-09-26,2026-09-26
全家,FMC大顆蜂蜜腰果,175,1,2026-09-26,2026-09-26
全家,FMC家常寬麵,714,2,2026-09-26,2026-09-26
全家,FMC日式咖哩牛肉,186,1,2026-09-26,2026-09-26
全家,FMC桂花蜂蜜水,82,1,2026-09-26,2026-09-26
全家,FMC桂花蜜桃果茶,159,1,2026-09-26,2026-09-26
全家,FMC楊枝甘露,157,1,2026-09-26,2026-09-26
全家,FMC樂多綠茶,332,1,2026-09-26,2026-09-26
全家,FMC橙柚百香綠茶,155,1,2026-09-26,2026-09-26
全家,FMC檸檬芭樂雪酪冰棒,111,1,2026-09-26,2026-09-26
全家,FMC檸檬蜂蜜水870ml,348,1,2026-09-26,2026-09-26
全家,FMC每日6纖果,261,1,2026-09-26,2026-09-26
全家,FMC海鹽荔枝飲,147,1,2026-09-26,2026-09-26
全家,FMC甘蔗檸檬,196,1,2026-09-26,2026-09-26
全家,FMC百香果蜂蜜水,132,1,2026-09-26,2026-09-26
全家,FMC紅柚翡翠茶,232,2,2026-09-26,2026-09-26
全家,FMC紅燒牛腩,119,1,2026-09-26,2026-09-26
全家,FMC綠豆薏仁漿,69,1,2026-09-26,2026-09-26
全家,FMC芒果百香雪酪冰棒,117,1,2026-09-26,2026-09-26
全家,FMC芒果綜合冰茶,281,1,2026-09-26,2026-09-26
全家,FMC芭樂檸檬青茶,200,1,2026-09-26,2026-09-26
全家,FMC草莓銀耳露,92,1,2026-09-26,2026-09-26
全家,FMC薏仁漿,72,1,2026-09-26,2026-09-26
全家,FMC西瓜烏龍茶,125,1,2026-09-26,2026-09-26
全家,FMC鮮榨西瓜汁,101,1,2026-09-26,2026-09-26
全家,FMC黃金奇異果銀耳露,101,1,2026-09-26,2026-09-26
全家,FMC黃金蕎麥茶,26,2,2026-09-26,2026-09-26
全家,GA黃金甲太空能量膠,125,1,2026-09-26,2026-09-26
全家,HL韓國紅石榴汁,40,1,2026-09-26,2026-09-26
全家,HL韓國藍莓汁,30,1,2026-09-26,2026-09-26
全家,ICC香蘭風味脆餅冰淇淋,207,1,2026-09-26,2026-09-26
全家,ICC黑芝麻風味脆餅冰淇淋,207,1,2026-09-26,2026-09-26
全家,KC陽光黃玉米(即食),126,1,2026-09-26,2026-09-26
全家,Kai玫瑰莓果康普氣泡茶,92,1,2026-09-26,2026-09-26
全家,Kisses水滴巧酥可可巧克力,214,1,2026-09-26,2026-09-26
全家,Kkotka印章貼紙糖果組,31,1,2026-09-26,2026-09-26
全家,LATIB橄欖檸檬飲,168,14,2026-09-26,2026-09-26
全家,LCA活菌原味發酵乳,215,1,2026-09-26,2026-09-26
全家,LP33機能優酪乳,107,1,2026-09-26,2026-09-26
全家,LP33無加糖機能優酪乳,101,1,2026-09-26,2026-09-26
全家,LP33益敏優多,116,1,2026-09-26,2026-09-26
全家,M&M'S迷你巧克力,148,1,2026-09-26,2026-09-26
全家,M&M's脆心牛奶巧克力,141,1,2026-09-26,2026-09-26
全家,MM巧克力咖啡酷繽沙,342,1,2026-09-26,2026-09-26
全家,MM巧克力牛奶酷繽沙,399,1,2026-09-26,2026-09-26
全家,MM牛奶巧克力,177,1,2026-09-26,2026-09-26
全家,MM花生巧克力,253,1,2026-09-26,2026-09-26
全家,MaxQ乳酸菌軟糖(草莓口味),91,1,2026-09-26,2026-09-26
全家,MiNi燒番麥,105,1,2026-09-26,2026-09-26
全家,Mini可樂果原味,264,2,2026-09-26,2026-09-26
全家,Niseko抹茶紅豆白玉雪糕,169,1,2026-09-26,2026-09-26
全家,Niseko海鹽焦糖雪糕,106,1,2026-09-26,2026-09-26
全家,Niseko牛奶巧酥冰幸福杯,328,8,2026-09-26,2026-09-26
全家,Niseko牛奶巧酥雪糕,201,1,2026-09-26,2026-09-26
全家,OG美味星棒棒糖-可樂,119,1,2026-09-26,2026-09-26
全家,OG美味星棒棒糖-棉花糖,120,1,2026-09-26,2026-09-26
全家,OG美味星棒棒糖-泡泡糖,120,1,2026-09-26,2026-09-26
全家,OG美味星棒棒糖-草莓,119,1,2026-09-26,2026-09-26
全家,OG美味星棒棒糖-葡萄,120,1,2026-09-26,2026-09-26
全家,OG美味星棒棒糖-蘋果糖,119,1,2026-09-26,2026-09-26
全家,PABLO茉窨青檸綠茶,144,1,2026-09-26,2026-09-26
全家,PABLO蜜香柚子金萱,149,1,2026-09-26,2026-09-26
全家,PEPERO杏仁巧克力棒,159,1,2026-09-26,2026-09-26
全家,PEPERO白巧克力棒,163,1,2026-09-26,2026-09-26
全家,PEPERO草莓脆粒餅乾棒,162,1,2026-09-26,2026-09-26
全家,PINKY葡萄薄荷糖,28,1,2026-09-26,2026-09-26
全家,POP造型QQ糖,177,4,2026-09-26,2026-09-26
全家,PREM極奢紅蘊琥珀奶茶,195,2,2026-09-26,2026-09-26
全家,PREM極奢黑曜咖啡拿鐵,168,2,2026-09-26,2026-09-26
全家,Pinky水蜜桃薄荷糖,53,1,2026-09-26,2026-09-26
全家,Poifull綜合水果軟糖,189,1,2026-09-26,2026-09-26
全家,PowerBOMS能量飲料,122,1,2026-09-26,2026-09-26
全家,RAW原味洋芋捲,224,2,2026-09-26,2026-09-26
全家,SOMA茶歐蕾沖泡包,466,4,2026-09-26,2026-09-26
全家,UCC艾洛瑪紅茶咖啡,10,2,2026-09-26,2026-09-26
全家,WONDA金的微糖咖啡,35,1,2026-09-26,2026-09-26
全家,bbq柚子多多雪酪,91,1,2026-09-26,2026-09-26
全家,cota檸檬片雪酪,206,1,2026-09-26,2026-09-26
全家,cota萊姆片雪酪,197,1,2026-09-26,2026-09-26
全家,iMUSE乳酸菌檸檬水,90,1,2026-09-26,2026-09-26
全家,一口歌舞伎揚米果,440,1,2026-09-26,2026-09-26
全家,一口鮮肉餡餅,377,1,2026-09-26,2026-09-26
全家,一度贊爌肉麵,671,1,2026-09-26,2026-09-26
全家,一度贊紅燒牛肉麵,570,1,2026-09-26,2026-09-26
全家,一度贊蕃茄牛肉麵,507,1,2026-09-26,2026-09-26
全家,一日水果100%蘋果汁,112,1,2026-09-26,2026-09-26
全家,一日蔬果100%蔬果汁,108,1,2026-09-26,2026-09-26
全家,一日蔬果100％紫色蔬果汁,116,1,2026-09-26,2026-09-26
全家,一本完熟蘋果康普茶,75,2,2026-09-26,2026-09-26
全家,一顆布丁捲蛋糕,154,1,2026-09-26,2026-09-26
全家,三明治火腿-添加DHA藻油,260,4,2026-09-26,2026-09-26
全家,三明治造型魚板,89,1,2026-09-26,2026-09-26
全家,三杯醬爆菇菇飯糰(植覺生活),162,1,2026-09-26,2026-09-26
全家,三福嫩仙草凍,128,2,2026-09-26,2026-09-26
全家,三福濃厚生乳布丁,201,1,2026-09-26,2026-09-26
全家,三福鮮奶油布蕾,175,1,2026-09-26,2026-09-26
全家,三福黑糖嫩豆花,187,2,2026-09-26,2026-09-26
全家,三角巧克力酥派,310,1,2026-09-26,2026-09-26
全家,三麗鷗糖果扭蛋機,61,1,2026-09-26,2026-09-26
全家,上島珈琲店牛奶咖啡,116,1,2026-09-26,2026-09-26
全家,上島珈琲店黑糖牛奶咖啡,138,1,2026-09-26,2026-09-26
全家,上海風味生煎包,413,1,2026-09-26,2026-09-26
全家,与玥樓-主廚麻油雞飯,435,1,2026-09-26,2026-09-26
全家,与玥樓-鰹魚辣醬粉絲煲,244,1,2026-09-26,2026-09-26
全家,中冰拿鐵,105,1,2026-09-26,2026-09-26
全家,中冰經典美式,10,1,2026-09-26,2026-09-26
全家,中熱拿鐵,176,1,2026-09-26,2026-09-26
全家,中熱經典美式,11,1,2026-09-26,2026-09-26
全家,中熱醇黑厚可可飲,327,1,2026-09-26,2026-09-26
全家,中華甜愛玉,79,1,2026-09-26,2026-09-26
全家,中華花生豆花,95,1,2026-09-26,2026-09-26
全家,丸永製檸檬蛋糕風味冰棒,217,1,2026-09-26,2026-09-26
全家,丹麥菠蘿可頌,463,1,2026-09-26,2026-09-26
全家,乖乖奶油椰子,226,2,2026-09-26,2026-09-26
全家,乖乖玉米脆條-五香口味,266,2,2026-09-26,2026-09-26
全家,乖乖玉米脆條-招牌冰淇淋風味,250,2,2026-09-26,2026-09-26
全家,乖乖玉米脆條-牛小排風味,266,2,2026-09-26,2026-09-26
全家,乖乖莓好Q軟糖,139,1,2026-09-26,2026-09-26
全家,九州岩燒海苔派對包,790,5,2026-09-26,2026-09-26
全家,乳酪德式小香腸,150,1,2026-09-26,2026-09-26
全家,乳香世家全脂鮮乳220ml,145,1,2026-09-26,2026-09-26
全家,乳香世家全脂鮮乳936ml,618,3,2026-09-26,2026-09-26
全家,乳香世家全脂鮮奶,291,1,2026-09-26,2026-09-26
全家,五木細關東麵家庭號,3671,14,2026-09-26,2026-09-26
全家,五木肉燥味拉麵,1258,4,2026-09-26,2026-09-26
全家,五珍寶健康調和油,4725,15,2026-09-26,2026-09-26
全家,五香花生,311,1,2026-09-26,2026-09-26
全家,亞培安素菁選,250,1,2026-09-26,2026-09-26
全家,人蔘蜆精,6,1,2026-09-26,2026-09-26
全家,仙楂果,262,1,2026-09-26,2026-09-26
全家,仙貝(家庭號),525,5,2026-09-26,2026-09-26
全家,仲夏野莓冰淇淋迷你杯,213,1,2026-09-26,2026-09-26
全家,伊藤園冷梅風味飲料,155,1,2026-09-26,2026-09-26
全家,伊藤園蘋果紅茶,160,2,2026-09-26,2026-09-26
全家,伊藤園蜜桃紅茶,156,2,2026-09-26,2026-09-26
全家,伯朗EX雙倍濃烈咖啡,119,1,2026-09-26,2026-09-26
全家,伯朗咖啡,104,1,2026-09-26,2026-09-26
全家,伯朗咖啡(6入),104,1,2026-09-26,2026-09-26
全家,伯朗曼特寧咖啡,97,1,2026-09-26,2026-09-26
全家,伯朗深煎炭焙風味拿鐵,85,1,2026-09-26,2026-09-26
全家,伯朗深煎直火風味美式,9,1,2026-09-26,2026-09-26
全家,伯朗藍山咖啡,101,1,2026-09-26,2026-09-26
全家,伯朗藝伎黑咖啡,11,1,2026-09-26,2026-09-26
全家,伯爵可可鬆餅,345,1,2026-09-26,2026-09-26
全家,伯爵奶茶纖脆燕麥棒,146,1,2026-09-26,2026-09-26
全家,伯爵橘丁切片軟歐,401,1,2026-09-26,2026-09-26
全家,來一客牛肉蔬菜杯麵,304,1,2026-09-26,2026-09-26
全家,保佳適能量飲風味軟糖,172,1,2026-09-26,2026-09-26
全家,保力達蠻牛維他命B飲料,120,1,2026-09-26,2026-09-26
全家,信州味噌,1140,10,2026-09-26,2026-09-26
全家,偉特鮮奶油糖,220,10,2026-09-26,2026-09-26
全家,健身G肉餐盒,481,1,2026-09-26,2026-09-26
全家,健達倍多巧克力,119,1,2026-09-26,2026-09-26
全家,健達奇趣蛋單顆(粉紅色版),108,1,2026-09-26,2026-09-26
全家,健達奇趣蛋單顆(藍色版),108,1,2026-09-26,2026-09-26
全家,健達快樂河馬巧克力,124,1,2026-09-26,2026-09-26
全家,健達樂脆棒,94,1,2026-09-26,2026-09-26
全家,健達牛奶巧克力,284,4,2026-09-26,2026-09-26
全家,健達白繽紛樂巧克力,222,2,2026-09-26,2026-09-26
全家,健酪原味乳酸飲料,230,2,2026-09-26,2026-09-26
全家,優質池上飯,291,1,2026-09-26,2026-09-26
全家,元初無加糖6.0高蛋白濃豆乳,259,1,2026-09-26,2026-09-26
全家,元本山6束海苔,14,1,2026-09-26,2026-09-26
全家,元本山脆烤海苔8切梅子風味,49,1,2026-09-26,2026-09-26
全家,元氣滿滿野蔬沙拉(植覺生活),60,1,2026-09-26,2026-09-26
全家,元氣秋葵,40,1,2026-09-26,2026-09-26
全家,元氣雞肉蔬菜湯,129,1,2026-09-26,2026-09-26
全家,先牧溏心蛋,265,5,2026-09-26,2026-09-26
全家,光泉一日快充綜合水果飲,130,2,2026-09-26,2026-09-26
全家,光泉一日快充高C檸檬飲,146,2,2026-09-26,2026-09-26
全家,光泉低脂鮮乳,133,1,2026-09-26,2026-09-26
全家,光泉低脂鮮乳936ml,430,3,2026-09-26,2026-09-26
全家,光泉優質蛋白巧克力牛奶,252,1,2026-09-26,2026-09-26
全家,光泉優質蛋白草莓牛奶,201,1,2026-09-26,2026-09-26
全家,光泉全脂保久牛乳200ml,132,1,2026-09-26,2026-09-26
全家,光泉全脂鮮乳,192,1,2026-09-26,2026-09-26
全家,光泉全脂鮮乳1857ml,1231,6,2026-09-26,2026-09-26
全家,光泉堅果風味植物蛋白飲,262,1,2026-09-26,2026-09-26
全家,光泉富維他牛乳,230,1,2026-09-26,2026-09-26
全家,光泉巧克力牛乳,186,1,2026-09-26,2026-09-26
全家,光泉巧克力牛乳936ml,598,3,2026-09-26,2026-09-26
全家,光泉巧克力牛奶330ml,197,1,2026-09-26,2026-09-26
全家,光泉木瓜牛乳,249,1,2026-09-26,2026-09-26
全家,光泉杯裝全脂鮮乳,162,1,2026-09-26,2026-09-26
全家,光泉杯裝麥芽牛乳,156,1,2026-09-26,2026-09-26
全家,光泉果汁牛乳,178,1,2026-09-26,2026-09-26
全家,光泉果汁牛乳936ml,558,3,2026-09-26,2026-09-26
全家,光泉森林莓果雙格優酪,94,1,2026-09-26,2026-09-26
全家,光泉楊桃汁,242,2,2026-09-26,2026-09-26
全家,光泉無加糖優酪乳,148,1,2026-09-26,2026-09-26
全家,光泉無加糖濃豆漿,190,1,2026-09-26,2026-09-26
全家,光泉無加糖濃黑豆漿,198,1,2026-09-26,2026-09-26
全家,光泉無加糖鮮豆漿,145,1,2026-09-26,2026-09-26
全家,光泉無加糖鮮豆漿936ml,338,3,2026-09-26,2026-09-26
全家,光泉無加糖黑豆漿,142,1,2026-09-26,2026-09-26
全家,光泉燕麥高纖無加糖鮮豆漿,184,1,2026-09-26,2026-09-26
全家,光泉百香蜜桃雙格優酪,94,1,2026-09-26,2026-09-26
全家,光泉米漿,250,1,2026-09-26,2026-09-26
全家,光泉米漿936ml,584,3,2026-09-26,2026-09-26
全家,光泉紫米燕麥糙米漿,203,1,2026-09-26,2026-09-26
全家,光泉茉莉茶凍,84,1,2026-09-26,2026-09-26
全家,光泉茉莉蜜茶,173,2,2026-09-26,2026-09-26
全家,光泉茉莉蜜茶330ml,98,1,2026-09-26,2026-09-26
全家,光泉草莓牛乳,142,1,2026-09-26,2026-09-26
全家,光泉草莓綜合優酪乳,130,1,2026-09-26,2026-09-26
全家,光泉莓果穀物脆片鮮奶優格,81,1,2026-09-26,2026-09-26
全家,光泉蘋果牛乳,203,1,2026-09-26,2026-09-26
全家,光泉豆漿936ml,537,3,2026-09-26,2026-09-26
全家,光泉雞蛋豆奶,214,1,2026-09-26,2026-09-26
全家,光泉頂級鮮奶優酪,311,5,2026-09-26,2026-09-26
全家,光泉香濃牛奶優酪乳,139,1,2026-09-26,2026-09-26
全家,光泉高鈣牛乳,257,2,2026-09-26,2026-09-26
全家,光泉高鈣鮮豆漿(多元補鈣),203,1,2026-09-26,2026-09-26
全家,光泉鮮豆漿,230,1,2026-09-26,2026-09-26
全家,光泉麥芽牛乳,185,1,2026-09-26,2026-09-26
全家,光泉麥芽牛乳936ml,593,3,2026-09-26,2026-09-26
全家,光泉麥芽牛乳咖啡冰沙,212,1,2026-09-26,2026-09-26
全家,光泉麥芽牛乳酷繽沙,212,1,2026-09-26,2026-09-26
全家,光泉黑芝麻鮮豆漿,230,1,2026-09-26,2026-09-26
全家,克寧即溶奶粉,4026,22,2026-09-26,2026-09-26
全家,克林姆麵包,249,1,2026-09-26,2026-09-26
全家,全壘打棒球串,108,1,2026-09-26,2026-09-26
全家,全素沙拉,595,5,2026-09-26,2026-09-26
全家,兩粒飯糰(鮪魚、焦糖鮭魚),360,1,2026-09-26,2026-09-26
全家,冬菜鴨肉湯粉絲,229,1,2026-09-26,2026-09-26
全家,冰冰仙草蜜,288,1,2026-09-26,2026-09-26
全家,冰厚濃抹茶拿鐵,321,1,2026-09-26,2026-09-26
全家,冰厚濃靜岡抹茶拿鐵,301,1,2026-09-26,2026-09-26
全家,冰心乳酪條,276,1,2026-09-26,2026-09-26
全家,冰心可可脆絲蛋糕,319,1,2026-09-26,2026-09-26
全家,冰糖燕窩,20,1,2026-09-26,2026-09-26
全家,冰鎮檸檬紅茶,200,2,2026-09-26,2026-09-26
